J.K. Rowling
Stephen King
Neil Gaiman
Agatha Christie

Gabriel García Márquez
Isabel Allende
Mario Vargas Llosa
Pablo Neruda

Jane Austen
Charlotte Brontë
Emily Brontë
Louisa May Alcott

F. Scott Fitzgerald
Ernest Hemingway
Toni Morrison
Virginia Woolf

Haruki Murakami
Yukio Mishima
Banana Yoshimoto
Kazuo Ishiguro

J.R.R. Tolkien
C.S. Lewis
Terry Pratchett
Ursula K. Le Guin

Mark Twain
Herman Melville
Edgar Allan Poe
Ralph Waldo Emerson

Leo Tolstoy
Fyodor Dostoevsky
Anton Chekhov
Nikolai Gogol

Oscar Wilde
George Bernard Shaw
James Joyce
Samuel Beckett

Albert Camus
Franz Kafka
Friedrich Nietzsche
Søren Kierkegaard

