1|La sombra del viento|Carlos Ruiz Zafón|Ficción|487|2001|Español|978-8408136023|5|En aquel tiempo, los padres de Daniel Sempere aún vivían juntos en el gran piso del número 4 de la calle Santa Ana...
2|1984|George Orwell|Ficción|328|1949|Inglés|978-0451524935|4|Era un día luminoso y frío de abril, y los relojes daban las trece.
3|Los pilares de la Tierra|Ken Follett|Ficción|976|1989|Español|978-8497592770|5|El niño no podía dormir. Aunque tenía los ojos cerrados, sabía que estaba solo en la oscuridad.
4|El código Da Vinci|Dan Brown|Ficción|593|2003|Español|978-8490628766|4|El conservador del museo de Louvre se sobresaltó al notar que el capitán Bezu Fache descolgaba el teléfono...
5|Cien años de soledad|Gabriel García Márquez|Ficción|471|1967|Español|978-8439720735|5|Muchos años después, frente al pelotón de fusilamiento, el coronel Aureliano Buendía había de recordar aquella tarde remota en que su padre lo llevó a conocer el hielo.
6|El nombre del viento|Patrick Rothfuss|Ficción|662|2007|Español|978-8499082479|5|Acróstico.
7|Harry Potter y la piedra filosofal|J.K. Rowling|Ficción|256|1997|Español|978-8478884453|5|El señor y la señora Dursley, que vivían en el número 4 de Privet Drive, estaban orgullosos de decir que eran muy normales...
8|El Gran Gatsby|F. Scott Fitzgerald|Ficción|218|1925|Inglés|978-9562914262|4|En mi juventud mi padre me dio un consejo que he estado siempre olvidando.
9|Dune|Frank Herbert|Ficción|608|1965|Inglés|978-8497596822|5|En el amanecer de los tiempos, la humanidad se expandió más allá de su planeta madre...
10|Crónica de una muerte anunciada|Gabriel García Márquez|Ficción|120|1981|Español|978-0307474728|4|El día en que lo iban a matar, Santiago Nasar se levantó a las 5.30 de la mañana para esperar el buque en que llegaba el obispo.
11|El silencio de los corderos|Thomas Harris|Misterio|368|1988|Español|978-8497592206|5|El doctor Hannibal Lecter era uno de los presos más destacados del hospital psiquiátrico.
12|El nombre de la rosa|Umberto Eco|Misterio|579|1980|Español|978-8499893303|4|«La abadía era, hasta cierto punto, un lugar siniestro».
13|El código enigma|Robert Harris|Misterio|432|1995|Inglés|978-8426417365|4|Ésta es una historia que comenzó en una tranquila tarde de primavera en Bletchley Park.
14|Perdida|Gillian Flynn|Misterio|512|2012|Español|978-8490708826|5|Cuando conocí a Nick Dunne, pensé que sería el hombre perfecto.
15|El asesinato de Roger Ackroyd|Agatha Christie|Misterio|289|1926|Inglés|978-8497598666|5|Mi querida Caroline.
16|El código Da Vinci|Dan Brown|Misterio|592|2003|Español|978-8490628766|4|El conservador del museo de Louvre se sobresaltó al notar que el capitán Bezu Fache descolgaba el teléfono...
17|El expediente del semidiós|Rick Riordan|Misterio|176|2009|Español|978-8498386264|4|Es un honor encontrarme con la primera clase de semidioses.
18|La chica del tren|Paula Hawkins|Misterio|496|2015|Español|978-8498386431|4|No estoy segura de si desperté en el tren o si el tren despertó en mí.
19|El resplandor|Stephen King|Misterio|632|1977|Español|978-8466660793|5|Habían pasado cerca de cinco meses desde que Jack Torrance se apuntó a la terapia de grupo en el Desayuno de los Alcohólicos Anónimos.
20|El caso de Charles Dexter Ward|H.P. Lovecraft|Misterio|208|1941|Inglés|978-8492966477|5|El yacimiento de Estaca es singular en diversos aspectos
21|El jardín encantado|Lucía García|Fantasía|250|2019|Español|1-2222-2222-2|4|Había una vez un hermoso jardín en el que las flores cobraban vida...
22|La melodía del silencio|Andrés Martínez|Romance|354|2020|Español|1-3333-3333-3|5|Dos almas perdidas se encuentran en un mundo lleno de ruido y encuentran la paz en el silencio...
23|El reino perdido|Laura Pérez|Fantasía|406|2018|Español|1-4444-4444-4|4|Un joven valiente se embarca en una peligrosa búsqueda para encontrar el legendario reino perdido...
24|El susurro de las olas|Carlos Rodríguez|Romance|288|2022|Español|1-5555-5555-5|3|En la tranquila playa, dos corazones se entrelazan al ritmo del suave susurro de las olas...
25|El misterio del faro|María Sánchez|Aventura|321|2021|Español|1-6666-6666-6|4|Un grupo de amigos se adentra en un antiguo faro para descubrir los secretos que oculta...
26|El último suspiro|Juan López|Drama|183|2023|Español|1-7777-7777-7|5|En un mundo oscuro y desolado, un hombre lucha por sobrevivir y encontrar una razón para seguir adelante...
27|El secreto de la montaña|Ana Ruiz|Aventura|405|2020|Español|1-8888-8888-8|4|Una expedición se adentra en las profundidades de una misteriosa montaña en busca de un tesoro legendario...
28|La promesa eterna|Miguel Fernández|Romance|322|2022|Español|1-9999-9999-9|5|Dos amantes separados por el destino hacen una promesa de amor eterno que trasciende el tiempo...
29|El guardián de los sueños|Sofía González|Fantasía|299|2021|Español|2-0000-0000-0|4|En el mundo de los sueños, un valiente guardián protege los sueños de la humanidad de las pesadillas...
30|El viaje perdido|Pedro Castro|Aventura|353|2019|Español|2-1111-1111-1|3|Un grupo de exploradores se adentra en una peligrosa selva en busca de un antiguo tesoro perdido...
31|El despertar de las sombras|Luisa Fernández|Fantasía|404|2022|Español|2-2222-2222-2|4|En un mundo sumido en la oscuridad, una joven descubre un poder oculto capaz de cambiar su destino...
32|El legado olvidado|Javier Torres|Aventura|325|2021|Español|2-3333-3333-3|3|Un antiguo mapa lleva a un grupo de exploradores a una búsqueda desesperada en busca de un tesoro perdido...
33|La melodía prohibida|María Rodríguez|Romance|278|2023|Español|2-4444-4444-4|5|Dos almas enamoradas se enfrentan a la adversidad y luchan por su amor a pesar de las circunstancias...
34|El laberinto de los recuerdos|Carlos Sánchez|Drama|182|2020|Español|2-5555-5555-5|4|Un hombre busca desesperadamente desentrañar los secretos de su pasado mientras se adentra en un laberinto de recuerdos...
35|El susurro de la noche|Laura Pérez|Suspense|324|2022|Español|2-6666-6666-6|3|En la oscuridad de la noche, una sombra acecha y despierta los miedos más profundos de una pequeña ciudad...
36|El destino entrelazado|Miguel Fernández|Romance|352|2021|Español|2-7777-7777-7|5|Dos almas destinadas a encontrarse se cruzan en un encuentro fortuito que cambiará sus vidas para siempre...
37|El enigma de la esfera|Ana Ruiz|Ciencia Ficción|403|2023|Español|2-8888-8888-8|4|Una misteriosa esfera alienígena aparece en la Tierra, desatando una serie de eventos que desafían la comprensión humana...
38|El guardián de las llamas|Sofía González|Fantasía|281|2020|Español|2-9999-9999-9|4|En un mundo devastado por la guerra, un joven descubre que tiene el poder de controlar el fuego y se convierte en el guardián de las llamas...
39|El último aliento|Pedro Castro|Suspense|547|2022|Español|3-0000-0000-0|3|Un asesino en serie acecha las calles de la ciudad, dejando un rastro de terror y desesperación a su paso...
40|El despertar de la magia|Lucía García|Fantasía|222|2021|Español|3-1111-1111-1|5|En un mundo donde la magia estaba olvidada, una joven descubre su poder y se embarca en un viaje para salvar su tierra...
41|El susurro del viento|Andrés Martínez|Romance|111|2023|Español|3-2222-2222-2|4|En las colinas solitarias, el viento susurra secretos de amor y esperanza a dos corazones solitarios...
42|La isla perdida|María Sánchez|Aventura|543|2022|Español|3-3333-3333-3|3|Un grupo de exploradores naufraga en una isla desconocida y descubre que no están solos en ese lugar...
43|El eco de la noche|Juan López|Suspense|181|2020|Español|3-4444-4444-4|5|En la oscuridad de la noche, un eco aterrador resuena y despierta los instintos de supervivencia de una comunidad...
44|La promesa rota|Laura Pérez|Drama|753|2021|Español|3-5555-5555-5|4|Dos amantes separados por el destino luchan por cumplir una promesa que parece cada vez más inalcanzable...
45|El secreto de la reliquia|Carlos Rodríguez|Aventura|402|2023|Español|3-6666-6666-6|3|Una antigua reliquia esconde un secreto poderoso y un grupo de valientes aventureros se embarca en su búsqueda...
46|El canto de las estrellas|Ana Ruiz|Fantasía|280|2020|Español|3-7777-7777-7|5|En la noche estrellada, un canto mágico resuena y transporta a aquellos que lo escuchan a un mundo de maravillas...
47|La sombra del pasado|Miguel Fernández|Romance|323|2022|Español|3-8888-8888-8|4|Dos almas heridas por el pasado se encuentran y juntas buscan sanar las cicatrices del corazón...
48|El enigma de la cripta|Sofía González|Misterio|401|2021|Español|3-9999-9999-9|4|Un grupo de investigadores se adentra en una antigua cripta en busca de respuestas a un enigma milenario...
49|El reino de las sombras|Pedro Castro|Fantasía|321|2023|Español|4-0000-0000-0|3|Un reino mágico caído en desgracia espera la llegada de un héroe que pueda devolverle la luz y la esperanza...
50|La búsqueda eterna|Lucía García|Aventura|351|2022|Español|4-1111-1111-1|5|Un aventurero intrépido se embarca en una búsqueda peligrosa en busca de un tesoro que podría cambiar el destino de su mundo...
